0,\left(
1,\right)
2,+
3,-
4,0
5,1
6,2
7,3
8,4
9,5
10,6
11,7
12,8
13,9
14,\cos
15,\div
16,\
17,\infty
18,\int
19,\lambda
20,\log
21,\phi
22,\pi
23,\sin
24,\sqrt
25,\sum
26,\tan
27,\theta
28,\times
29,x
30,y
31,z
32,\left{
33,\right}
